一级分类,二级分类,品名,最低价,平均价,最高价,规格,产地,单位,发布日期
水产,虾蟹类,公河蟹,40.0,42.5,45.0,100g左右,,斤,2022-08-30 00:00:00
水产,虾蟹类,母河蟹,30.0,32.5,35.0,65g左右,,斤,2022-08-30 00:00:00
水产,虾蟹类,母河蟹,40.0,42.5,45.0,80g左右,,斤,2022-08-30 00:00:00
水产,虾蟹类,母梭子蟹,35.0,45.0,55.0,250g左右,,斤,2022-08-30 00:00:00
水产,虾蟹类,公梭子蟹,30.0,40.0,50.0,250g左右,,斤,2022-08-30 00:00:00
水产,虾蟹类,兰花蟹,100.0,110.0,120.0,活,,斤,2022-08-30 00:00:00
水产,虾蟹类,皇帝蟹,260.0,265.0,270.0,活,,斤,2022-08-30 00:00:00
水产,虾蟹类,面包蟹,100.0,110.0,120.0,活,,斤,2022-08-30 00:00:00
水产,贝壳类,鲍鱼,10.0,11.0,12.0,6-7头,,个,2022-08-30 00:00:00
水产,贝壳类,鲍鱼,7.0,7.5,8.0,8-9头,,个,2022-08-30 00:00:00
水产,贝壳类,鲍鱼,5.0,5.0,5.0,10-12头,,个,2022-08-30 00:00:00
水产,贝壳类,扇贝,44.0,45.0,46.0,>16cm/活,,斤,2022-08-30 00:00:00
水产,贝壳类,扇贝,30.0,31.0,32.0,10-12cm/活,,斤,2022-08-30 00:00:00
水产,贝壳类,扇贝,27.0,27.0,27.0,7-9cm/活,,斤,2022-08-30 00:00:00
水产,贝壳类,小红扇贝,6.0,7.0,8.0,活,,斤,2022-08-30 00:00:00
水产,贝壳类,钉螺,9.0,10.0,11.0,活,,斤,2022-08-30 00:00:00
水产,贝壳类,海螺,18.0,19.0,20.0,活（小）,,斤,2022-08-30 00:00:00
水产,贝壳类,海螺,23.0,24.0,25.0,活（中）,,斤,2022-08-30 00:00:00
水产,贝壳类,海螺,35.0,37.5,40.0,活（大）,,斤,2022-08-30 00:00:00
水产,贝壳类,蛏子,14.0,15.0,16.0,活,,斤,2022-08-30 00:00:00
水产,贝壳类,海虹,7.0,7.0,7.0,活,,斤,2022-08-30 00:00:00
水产,贝壳类,带子,16.0,17.0,18.0,活,,斤,2022-08-30 00:00:00
水产,贝壳类,生蚝,11.0,11.0,11.0,150g,,斤,2022-08-30 00:00:00
水产,贝壳类,生蚝,12.0,12.0,12.0,200g,,斤,2022-08-30 00:00:00
水产,贝壳类,黄蚬子,30.0,30.0,30.0,活,,斤,2022-08-30 00:00:00
水产,贝壳类,文蛤,12.0,12.0,12.0,活,,斤,2022-08-30 00:00:00
水产,贝壳类,白蛤,8.0,8.0,8.0,活,,斤,2022-08-30 00:00:00
水产,贝壳类,青蛤,13.0,13.5,14.0,活,,斤,2022-08-30 00:00:00
水产,贝壳类,花蛤,6.0,6.5,7.0,活,,斤,2022-08-30 00:00:00
水产,贝壳类,花蛤,8.0,8.5,9.0,活（无沙）,,斤,2022-08-30 00:00:00
水产,贝壳类,毛钳,7.0,7.5,8.0,,,斤,2022-08-30 00:00:00
水产,贝壳类,田螺,3.5,3.65,3.8,去尾,,斤,2022-08-30 00:00:00
水产,贝壳类,猫眼螺,20.0,22.0,24.0,活,,斤,2022-08-30 00:00:00
水产,其他类,甲鱼,48.0,48.0,48.0,仿野生,,斤,2022-08-30 00:00:00
水产,其他类,甲鱼,22.0,22.0,22.0,养殖,,斤,2022-08-30 00:00:00
水产,其他类,蚕蛹,44.0,44.0,44.0,活,,斤,2022-08-30 00:00:00
水产,其他类,牛蛙,18.0,18.5,19.0,活,,斤,2022-08-30 00:00:00
水产,其他类,海蜇头,6.0,7.5,9.0,腌渍,,斤,2022-08-30 00:00:00
水产,其他类,海蜇皮,10.0,10.0,10.0,腌渍,,斤,2022-08-30 00:00:00
水产,其他类,海蜇丝,6.0,6.5,7.0,腌渍,,斤,2022-08-30 00:00:00
豆制品,,北豆腐,1.8,1.9,2.0,屉,,斤,2022-08-30 00:00:00
豆制品,,南豆腐,1.6,1.7,1.8,屉,,斤,2022-08-30 00:00:00
豆制品,,白玉北豆腐,3.8,3.8,3.8,,,盒,2022-08-30 00:00:00
豆制品,,香香北豆腐,3.0,3.0,3.0,,,盒,2022-08-30 00:00:00
豆制品,,白玉南豆腐,5.4,5.4,5.4,,,盒,2022-08-30 00:00:00
豆制品,,豆腐丝,4.2,4.3,4.4,散,,斤,2022-08-30 00:00:00
豆制品,,精品豆腐丝,5.5,5.75,6.0,,,袋,2022-08-30 00:00:00
豆制品,,豆腐皮,4.5,4.5,4.5,散,,斤,2022-08-30 00:00:00
豆制品,,豆腐干,3.5,3.5,3.5,散,,斤,2022-08-30 00:00:00
豆制品,,精品豆腐干,4.5,4.75,5.0,,,袋,2022-08-30 00:00:00
豆制品,,豆腐泡,4.5,4.5,4.5,散,,斤,2022-08-30 00:00:00
豆制品,,精品豆腐泡,4.0,4.0,4.0,,,袋,2022-08-30 00:00:00
豆制品,,白玉内酯豆腐,2.0,2.0,2.0,,,盒,2022-08-30 00:00:00
豆制品,,香香内脂豆腐,1.0,1.0,1.0,,,盒,2022-08-30 00:00:00
豆制品,,白玉豆浆,2.0,2.25,2.5,,,袋,2022-08-30 00:00:00
蔬菜,,大白菜,1.0,1.05,1.1,,冀,斤,2022-08-29 00:00:00
蔬菜,,娃娃菜,1.0,1.1,1.2,大,冀,斤,2022-08-29 00:00:00
蔬菜,,小白菜,2.4,2.6,2.8,,冀,斤,2022-08-29 00:00:00
蔬菜,,圆白菜,0.6,1.0,1.4,,冀,斤,2022-08-29 00:00:00
蔬菜,,紫甘蓝,1.2,1.3,1.4,,冀,斤,2022-08-29 00:00:00
蔬菜,,芹菜,1.0,1.25,1.5,,冀京,斤,2022-08-29 00:00:00
蔬菜,,西芹,2.0,2.1,2.2,,冀,斤,2022-08-29 00:00:00
蔬菜,,菠菜,4.5,5.0,5.5,,冀蒙,斤,2022-08-29 00:00:00
蔬菜,,莴笋,1.2,1.45,1.7,,冀蒙,斤,2022-08-29 00:00:00
蔬菜,,团生菜,3.0,3.75,4.5,毛\净,冀,斤,2022-08-29 00:00:00
蔬菜,,散叶生菜,4.0,4.75,5.5,,冀,斤,2022-08-29 00:00:00
蔬菜,,罗马生菜,3.5,3.75,4.0,,冀,斤,2022-08-29 00:00:00
蔬菜,,油菜,3.5,3.75,4.0,大\小,鲁冀京,斤,2022-08-29 00:00:00
蔬菜,,香菜,9.0,10.5,12.0,,冀云蒙,斤,2022-08-29 00:00:00
蔬菜,,茴香,4.0,4.5,5.0,,冀,斤,2022-08-29 00:00:00
蔬菜,,韭菜,2.0,2.25,2.5,,冀,斤,2022-08-29 00:00:00
蔬菜,,苦菊,2.5,2.9,3.3,,冀辽,斤,2022-08-29 00:00:00
蔬菜,,油麦菜,5.0,6.5,8.0,,冀辽,斤,2022-08-29 00:00:00
蔬菜,,散菜花,3.2,3.5,3.8,,冀蒙,斤,2022-08-29 00:00:00
蔬菜,,绿菜花,2.5,2.75,3.0,,冀,斤,2022-08-29 00:00:00
蔬菜,,绿豆芽,0.95,0.98,1.0,,,斤,2022-08-29 00:00:00
蔬菜,,黄豆芽,0.85,0.88,0.9,,,斤,2022-08-29 00:00:00
蔬菜,,番茄,1.0,1.4,1.8,黑框,蒙冀鲁,斤,2022-08-29 00:00:00
蔬菜,,番茄,1.6,1.95,2.3,纸箱\泡沫箱,冀蒙,斤,2022-08-29 00:00:00
蔬菜,,番茄,1.7,2.0,2.3,白框,蒙,斤,2022-08-29 00:00:00
蔬菜,,黄瓜,2.4,3.2,4.0,袋\箱,鲁辽,斤,2022-08-29 00:00:00
蔬菜,,黄瓜,3.5,4.25,5.0,鲜干花,冀,斤,2022-08-29 00:00:00
蔬菜,,小黄瓜,3.5,4.75,6.0,旱\荷兰,辽鲁,斤,2022-08-29 00:00:00
蔬菜,,茄子,1.8,2.6,3.4,,冀豫京鲁,斤,2022-08-29 00:00:00
蔬菜,,长茄,1.5,2.75,4.0,,冀晋辽,斤,2022-08-29 00:00:00
蔬菜,,线茄,1.0,2.5,4.0,袋\箱,冀京,斤,2022-08-29 00:00:00
蔬菜,,广茄,1.0,2.0,3.0,,冀京,斤,2022-08-29 00:00:00
蔬菜,,冬瓜,0.8,0.83,0.85,吊,冀,斤,2022-08-29 00:00:00
蔬菜,,冬瓜,0.4,0.45,0.5,地,冀,斤,2022-08-29 00:00:00
蔬菜,,毛冬瓜,0.65,0.93,1.2,长\小,冀豫,斤,2022-08-29 00:00:00
蔬菜,,架豆,4.0,5.75,7.5,,冀,斤,2022-08-29 00:00:00
蔬菜,,豆王,9.0,10.0,11.0,,辽,斤,2022-08-29 00:00:00
蔬菜,,扁豆,4.0,5.75,7.5,,冀晋,斤,2022-08-29 00:00:00
蔬菜,,豇豆,3.5,4.5,5.5,湿\干,冀辽,斤,2022-08-29 00:00:00
蔬菜,,白不老,4.0,5.75,7.5,,辽鲁,斤,2022-08-29 00:00:00
蔬菜,,油豆,5.0,6.25,7.5,,辽冀,斤,2022-08-29 00:00:00
蔬菜,,毛豆,2.3,2.8,3.3,,川云,斤,2022-08-29 00:00:00
蔬菜,,玉米,0.9,1.05,1.2,黏\甜,冀,斤,2022-08-29 00:00:00
蔬菜,,花生,2.6,3.3,4.0,,冀粤皖,斤,2022-08-29 00:00:00
蔬菜,,苦瓜,3.5,4.0,4.5,,冀鲁,斤,2022-08-29 00:00:00
蔬菜,,丝瓜,3.0,4.25,5.5,长\短,冀鲁,斤,2022-08-29 00:00:00
蔬菜,,西葫芦,2.8,3.2,3.6,袋\箱,冀蒙晋,斤,2022-08-29 00:00:00
蔬菜,,佛手瓜,2.0,2.25,2.5,,鲁,斤,2022-08-29 00:00:00
蔬菜,,瓠子,0.8,1.4,2.0,,京,斤,2022-08-29 00:00:00
蔬菜,,贝贝南瓜,1.4,1.5,1.6,,蒙,斤,2022-08-29 00:00:00
蔬菜,,金丝南瓜,1.6,1.7,1.8,,蒙,斤,2022-08-29 00:00:00
蔬菜,,板栗南瓜,1.5,1.55,1.6,,新蒙,斤,2022-08-29 00:00:00
蔬菜,,南北瓜,1.1,1.2,1.3,,湘鄂川,斤,2022-08-29 00:00:00
蔬菜,,尖椒,1.2,1.6,2.0,袋\箱,蒙冀,斤,2022-08-29 00:00:00
蔬菜,,红尖椒,3.5,3.65,3.8,,鲁,斤,2022-08-29 00:00:00
蔬菜,,美人椒,5.5,6.75,8.0,,鲁琼,斤,2022-08-29 00:00:00
蔬菜,,螺丝椒,3.0,4.0,5.0,,鲁冀,斤,2022-08-29 00:00:00
蔬菜,,柿子椒,1.4,2.05,2.7,袋\箱,鲁冀辽,斤,2022-08-29 00:00:00
蔬菜,,线椒,2.0,3.0,4.0,新,鲁冀,斤,2022-08-29 00:00:00
蔬菜,,杭椒,2.5,3.0,3.5,,鲁冀辽,斤,2022-08-29 00:00:00
蔬菜,,小米椒,5.0,6.5,8.0,,云豫,斤,2022-08-29 00:00:00
蔬菜,,彩椒,4.5,4.75,5.0,红\黄,鲁冀,斤,2022-08-29 00:00:00
蔬菜,,白萝卜,0.9,0.95,1.0,,冀,斤,2022-08-29 00:00:00
蔬菜,,心里美,1.5,1.6,1.7,泥\洗,冀,斤,2022-08-29 00:00:00
蔬菜,,卞萝卜,0.8,0.85,0.9,洗,冀,斤,2022-08-29 00:00:00
蔬菜,,青萝卜,1.2,1.35,1.5,,鲁,斤,2022-08-29 00:00:00
蔬菜,,胡萝卜,0.6,0.73,0.85,泥,蒙冀,斤,2022-08-29 00:00:00
蔬菜,,胡萝卜,0.8,0.9,1.0,洗,蒙,斤,2022-08-29 00:00:00
蔬菜,,土豆,0.9,1.15,1.4,,冀蒙陕,斤,2022-08-29 00:00:00
蔬菜,,葱头,0.9,1.0,1.1,黄,甘辽,斤,2022-08-29 00:00:00
蔬菜,,葱头,0.75,0.83,0.9,红,辽蒙,斤,2022-08-29 00:00:00
蔬菜,,山药,4.3,4.9,5.5,脆\麻,冀,斤,2022-08-29 00:00:00
蔬菜,,山药,7.5,8.0,8.5,铁棍,豫冀,斤,2022-08-29 00:00:00
蔬菜,,莲藕,4.0,4.25,4.5,泥\洗,川鄂津,斤,2022-08-29 00:00:00
蔬菜,,红薯,1.1,1.2,1.3,龙薯九,冀,斤,2022-08-29 00:00:00
蔬菜,,红薯,2.0,2.25,2.5,西瓜红\烟薯,冀闽,斤,2022-08-29 00:00:00
蔬菜,,紫薯,2.8,3.15,3.5,,冀,斤,2022-08-29 00:00:00
蔬菜,,茭白,4.5,4.7,4.9,,云,斤,2022-08-29 00:00:00
蔬菜,,荸荠,3.5,3.75,4.0,,皖,斤,2022-08-29 00:00:00
蔬菜,,芋头,3.0,3.25,3.5,,鲁,斤,2022-08-29 00:00:00
蔬菜,,姜,1.5,2.75,4.0,姜头\整,鲁,斤,2022-08-29 00:00:00
蔬菜,,大蒜,2.2,2.6,3.0,,豫苏鲁,斤,2022-08-29 00:00:00
蔬菜,,蒜米,2.6,3.0,3.4,机剥\手工,鲁,斤,2022-08-29 00:00:00
蔬菜,,大葱,2.5,2.75,3.0,,鲁冀辽,斤,2022-08-29 00:00:00
蔬菜,,小葱,3.5,4.25,5.0,,冀,斤,2022-08-29 00:00:00
蔬菜,,蒜苗,2.5,3.75,5.0,,鲁豫,斤,2022-08-29 00:00:00
蔬菜,,蒜黄,7.5,8.0,8.5,,冀,斤,2022-08-29 00:00:00
蔬菜,,青蒜,3.4,3.6,3.8,,甘,斤,2022-08-29 00:00:00
蔬菜,,平菇,5.0,6.0,7.0,小叶,冀,斤,2022-08-29 00:00:00
蔬菜,,香菇,3.5,5.75,8.0,,冀,斤,2022-08-29 00:00:00
蔬菜,,白玉菇,4.0,4.5,5.0,,冀,斤,2022-08-29 00:00:00
蔬菜,,口蘑,6.5,7.0,7.5,,冀,斤,2022-08-29 00:00:00
蔬菜,,杏鲍菇,2.5,3.0,3.5,,苏豫津,斤,2022-08-29 00:00:00
蔬菜,,金针菇,3.5,4.25,5.0,,辽鲁,斤,2022-08-29 00:00:00
蔬菜,水菜,油菜,3.4,3.95,4.5,,,斤,2022-08-29 00:00:00
蔬菜,水菜,小白菜,3.0,3.25,3.5,,,斤,2022-08-29 00:00:00
蔬菜,水菜,油麦菜,7.0,7.25,7.5,,,斤,2022-08-29 00:00:00
蔬菜,水菜,奶白菜,4.0,4.25,4.5,,,斤,2022-08-29 00:00:00
蔬菜,水菜,散生菜,4.5,4.75,5.0,,,斤,2022-08-29 00:00:00
蔬菜,水菜,香葱,5.0,5.5,6.0,,,斤,2022-08-29 00:00:00
蔬菜,水菜,茼蒿,9.0,10.0,11.0,,,斤,2022-08-29 00:00:00
蔬菜,水菜,蒿子秆,7.0,7.5,8.0,,,斤,2022-08-29 00:00:00
蔬菜,水菜,水萝卜,3.0,3.5,4.0,,,斤,2022-08-29 00:00:00
蔬菜,水菜,樱桃萝卜,6.0,6.5,7.0,,,斤,2022-08-29 00:00:00
蔬菜,水菜,香芹,5.0,5.5,6.0,,,斤,2022-08-29 00:00:00
蔬菜,水菜,菠菜,5.5,6.0,6.5,,,斤,2022-08-29 00:00:00
蔬菜,水菜,苋菜,2.5,2.75,3.0,,,斤,2022-08-29 00:00:00
蔬菜,水菜,菊花菜,4.0,4.25,4.5,,,斤,2022-08-29 00:00:00
蔬菜,水菜,青蒜,3.0,3.5,4.0,,,斤,2022-08-29 00:00:00
蔬菜,水菜,盖菜,3.5,3.75,4.0,,,斤,2022-08-29 00:00:00
蔬菜,水菜,芥兰,3.0,3.5,4.0,,,斤,2022-08-29 00:00:00
蔬菜,水菜,菜心,3.0,3.25,3.5,,,斤,2022-08-29 00:00:00
蔬菜,水菜,空心菜,4.5,5.0,5.5,,,斤,2022-08-29 00:00:00
蔬菜,水菜,鸡毛菜,5.0,5.5,6.0,,,斤,2022-08-29 00:00:00
蔬菜,水菜,荆芥,6.0,6.5,7.0,,,斤,2022-08-29 00:00:00
蔬菜,水菜,紫苏叶,6.0,7.0,8.0,,,斤,2022-08-29 00:00:00
蔬菜,水菜,豌豆苗,5.0,5.5,6.0,,,斤,2022-08-29 00:00:00
蔬菜,水菜,快菜,2.5,2.75,3.0,,,斤,2022-08-29 00:00:00
蔬菜,水菜,苦菊,4.0,4.25,4.5,,,斤,2022-08-29 00:00:00
蔬菜,水菜,穿心莲,8.0,8.5,9.0,,,斤,2022-08-29 00:00:00
蔬菜,水菜,木耳菜,3.0,3.5,4.0,,,斤,2022-08-29 00:00:00
水果,其他类,凤梨,2.3,2.4,2.5,,国产,斤,2022-08-29 00:00:00
水果,其他类,圣女果,3.8,4.65,5.5,千禧,,斤,2022-08-29 00:00:00
水果,其他类,百香果,8.0,8.5,9.0,,,斤,2022-08-29 00:00:00
水果,其他类,马牙枣,2.0,3.0,4.0,,,斤,2022-08-29 00:00:00
水果,其他类,冬枣,6.0,8.0,10.0,,,斤,2022-08-29 00:00:00
水果,其他类,火龙果,3.5,6.0,8.5,红,,斤,2022-08-29 00:00:00
水果,其他类,火龙果,3.5,4.5,5.5,白,,斤,2022-08-29 00:00:00
水果,其他类,木瓜,5.0,5.2,5.4,,,斤,2022-08-29 00:00:00
水果,其他类,甘蔗,2.0,2.05,2.1,,,斤,2022-08-29 00:00:00
水果,其他类,柠檬,4.5,4.75,5.0,,,斤,2022-08-29 00:00:00
水果,其他类,石榴,4.0,7.0,10.0,,,斤,2022-08-29 00:00:00
水果,其他类,青皮核桃,1.3,1.35,1.4,,,斤,2022-08-29 00:00:00
水果,其他类,姑娘果（灯笼果）,5.0,7.5,10.0,,,斤,2022-08-29 00:00:00
水果,其他类,沙果,2.0,2.25,2.5,,,斤,2022-08-29 00:00:00
水果,梨类,鸭梨,2.2,2.35,2.5,,,斤,2022-08-29 00:00:00
水果,梨类,雪花梨,2.1,2.2,2.3,,,斤,2022-08-29 00:00:00
水果,梨类,皇冠梨,3.0,3.2,3.4,纸箱,,斤,2022-08-29 00:00:00
水果,梨类,皇冠梨,2.0,2.15,2.3,青,,斤,2022-08-29 00:00:00
水果,梨类,七月红,2.2,2.4,2.6,,,斤,2022-08-29 00:00:00
水果,梨类,丰水梨,3.6,3.9,4.2,,,斤,2022-08-29 00:00:00
水果,梨类,红酥梨,2.2,2.4,2.6,,,斤,2022-08-29 00:00:00
水果,梨类,库尔勒香梨,4.6,5.45,6.3,,,斤,2022-08-29 00:00:00
水果,梨类,红啤梨,3.5,4.0,4.5,,,斤,2022-08-29 00:00:00
水果,梨类,贵妃梨,1.8,2.0,2.2,,,斤,2022-08-29 00:00:00
水果,柑橘类,蜜桔,2.0,2.5,3.0,,,斤,2022-08-29 00:00:00
水果,柑橘类,夏橙,2.5,3.75,5.0,,,斤,2022-08-29 00:00:00
水果,柑橘类,蜜柚,2.4,2.5,2.6,,,斤,2022-08-29 00:00:00
水果,柑橘类,红心蜜柚,3.0,4.0,5.0,,,斤,2022-08-29 00:00:00
水果,桃李杏类,油桃,2.5,3.75,5.0,,,斤,2022-08-29 00:00:00
水果,桃李杏类,蟠桃,3.0,4.0,5.0,,,斤,2022-08-29 00:00:00
水果,桃李杏类,水蜜桃,4.0,7.0,10.0,,,斤,2022-08-29 00:00:00
水果,桃李杏类,黄油桃,3.0,4.5,6.0,,,斤,2022-08-29 00:00:00
水果,桃李杏类,黄毛桃,2.5,4.25,6.0,,,斤,2022-08-29 00:00:00
水果,桃李杏类,黄油蟠,2.5,4.25,6.0,,,斤,2022-08-29 00:00:00
水果,桃李杏类,绿化久,1.6,2.5,3.4,,,斤,2022-08-29 00:00:00
水果,桃李杏类,14号,1.8,2.65,3.5,,,斤,2022-08-29 00:00:00
水果,桃李杏类,猕猴桃,6.0,6.75,7.5,翠香,,斤,2022-08-29 00:00:00
水果,桃李杏类,猕猴桃,4.0,4.3,4.6,徐香,,斤,2022-08-29 00:00:00
水果,桃李杏类,猕猴桃,2.3,2.5,2.7,秦美亚特,,斤,2022-08-29 00:00:00
水果,桃李杏类,李子,1.5,2.75,4.0,,,斤,2022-08-29 00:00:00
水果,桃李杏类,白杏,7.0,8.5,10.0,吊干杏,新疆,斤,2022-08-29 00:00:00
水果,桃李杏类,西梅,14.0,15.0,16.0,,新疆,斤,2022-08-29 00:00:00
水果,西瓜类,无籽小号-大号,1.8,1.9,2.0,,,斤,2022-08-29 00:00:00
水果,西瓜类,麒麟,2.3,3.55,4.8,甜蜜蜜,,斤,2022-08-29 00:00:00
水果,西瓜类,硒砂瓜,1.6,1.8,2.0,,,斤,2022-08-29 00:00:00
水果,西瓜类,特小凤,2.6,2.8,3.0,,,斤,2022-08-29 00:00:00
水果,西瓜类,L600吊秧瓜,3.0,3.5,4.0,,,斤,2022-08-29 00:00:00
水果,西瓜类,京欣,1.3,1.4,1.5,91,,斤,2022-08-29 00:00:00
水果,西瓜类,金城5号,1.2,1.5,1.8,,,斤,2022-08-29 00:00:00
水果,西瓜类,蜜童,1.4,2.0,2.6,,,斤,2022-08-29 00:00:00
水果,香蕉类,国产香蕉,2.7,3.05,3.4,,,斤,2022-08-29 00:00:00
水果,香蕉类,南美、菲律宾香蕉,3.0,3.4,3.8,,,斤,2022-08-29 00:00:00
水果,香蕉类,泰国香蕉,8.6,8.65,8.7,帝王蕉,,斤,2022-08-29 00:00:00
水果,甜瓜类,哈密瓜,2.2,2.5,2.8,,,斤,2022-08-29 00:00:00
水果,甜瓜类,晓蜜25号,2.3,2.65,3.0,,,斤,2022-08-29 00:00:00
水果,甜瓜类,玉菇,2.2,2.35,2.5,奶香蜜,,斤,2022-08-29 00:00:00
水果,甜瓜类,网纹,4.0,4.5,5.0,,,斤,2022-08-29 00:00:00
水果,甜瓜类,久红瑞,2.6,2.7,2.8,,,斤,2022-08-29 00:00:00
水果,甜瓜类,羊角蜜,1.5,2.5,3.5,六一,,斤,2022-08-29 00:00:00
水果,甜瓜类,西州蜜,1.5,1.85,2.2,,,斤,2022-08-29 00:00:00
水果,甜瓜类,白糖罐,1.8,2.1,2.4,24号,,斤,2022-08-29 00:00:00
水果,甜瓜类,花蕾甜瓜,2.5,3.0,3.5,,,斤,2022-08-29 00:00:00
水果,甜瓜类,绿宝甜瓜,2.5,3.0,3.5,,,斤,2022-08-29 00:00:00
水果,甜瓜类,八里香,2.2,2.35,2.5,,,斤,2022-08-29 00:00:00
水果,甜瓜类,博阳,1.4,2.3,3.2,系列,,斤,2022-08-29 00:00:00
水果,苹果类,富士,3.0,3.4,3.8,纸袋Φ70-84,,斤,2022-08-29 00:00:00
水果,苹果类,富士,5.0,5.5,6.0,纸袋Φ85以上,,斤,2022-08-29 00:00:00
水果,苹果类,黄元帅,3.0,3.75,4.5,,,斤,2022-08-29 00:00:00
水果,苹果类,嘎啦,3.0,3.65,4.3,纸袋,,斤,2022-08-29 00:00:00
水果,苹果类,嘎啦,2.0,2.75,3.5,光果,,斤,2022-08-29 00:00:00
水果,苹果类,美八,2.3,2.65,3.0,,,斤,2022-08-29 00:00:00
水果,苹果类,青苹果,2.0,2.4,2.8,,,斤,2022-08-29 00:00:00
水果,葡萄类,阳光玫瑰,6.0,12.0,18.0,,,斤,2022-08-29 00:00:00
水果,葡萄类,玫瑰香,3.5,4.75,6.0,,,斤,2022-08-29 00:00:00
水果,葡萄类,克伦生,7.0,8.0,9.0,,,斤,2022-08-29 00:00:00
水果,葡萄类,郁金香,6.0,7.0,8.0,茉莉香,,斤,2022-08-29 00:00:00
水果,葡萄类,美人指,7.0,8.0,9.0,,,斤,2022-08-29 00:00:00
水果,葡萄类,红提,5.0,6.0,7.0,,,斤,2022-08-29 00:00:00
水果,葡萄类,黑提,4.5,5.75,7.0,夏黑,,斤,2022-08-29 00:00:00
水果,葡萄类,青提,3.5,4.25,5.0,维多利亚,,斤,2022-08-29 00:00:00
水果,葡萄类,巨峰,3.0,4.5,6.0,,,斤,2022-08-29 00:00:00
水果,葡萄类,新疆无核,4.5,5.25,6.0,,,斤,2022-08-29 00:00:00
水果,葡萄类,紫甜,5.0,5.5,6.0,,,斤,2022-08-29 00:00:00
水果,芒果类,小台农,7.0,7.5,8.0,生,,斤,2022-08-29 00:00:00
水果,芒果类,鹰嘴芒果,6.0,6.25,6.5,,,斤,2022-08-29 00:00:00
水果,芒果类,青皮芒果,5.5,6.0,6.5,,,斤,2022-08-29 00:00:00
水果,芒果类,象牙芒果,4.5,5.0,5.5,,,斤,2022-08-29 00:00:00
水果,芒果类,凯特,4.0,4.75,5.5,,,斤,2022-08-29 00:00:00
水果,芒果类,热龙,6.5,7.0,7.5,,,斤,2022-08-29 00:00:00
水果,芒果类,澳芒,6.0,7.0,8.0,新世纪\肯特,,斤,2022-08-29 00:00:00
肉禽蛋,猪肉类,白条猪,15.0,15.0,15.0,瘦,,斤,2022-08-29 00:00:00
肉禽蛋,猪肉类,白条猪,13.5,13.5,13.5,肥,,斤,2022-08-29 00:00:00
肉禽蛋,猪肉类,前臀尖,14.0,14.5,15.0,瘦,,斤,2022-08-29 00:00:00
肉禽蛋,猪肉类,前臀尖,13.0,13.5,14.0,肥,,斤,2022-08-29 00:00:00
肉禽蛋,猪肉类,后臀尖,14.0,14.25,14.5,瘦,,斤,2022-08-29 00:00:00
肉禽蛋,猪肉类,后臀尖,13.0,13.5,14.0,肥,,斤,2022-08-29 00:00:00
肉禽蛋,猪肉类,五花肉,17.0,17.5,18.0,瘦,,斤,2022-08-29 00:00:00
肉禽蛋,猪肉类,五花肉,16.0,16.5,17.0,肥,,斤,2022-08-29 00:00:00
肉禽蛋,猪肉类,五花头,14.0,14.5,15.0,,,斤,2022-08-29 00:00:00
肉禽蛋,猪肉类,纯通脊,17.0,17.5,18.0,,,斤,2022-08-29 00:00:00
肉禽蛋,猪肉类,通脊,14.0,14.5,15.0,,,斤,2022-08-29 00:00:00
肉禽蛋,猪肉类,小里脊,17.0,17.5,18.0,,,斤,2022-08-29 00:00:00
肉禽蛋,猪肉类,梅花肉,16.0,16.5,17.0,,,斤,2022-08-29 00:00:00
肉禽蛋,猪肉类,纯瘦肉,14.5,14.5,14.5,,,斤,2022-08-29 00:00:00
肉禽蛋,猪肉类,护心肉,17.0,17.0,17.0,鲜,,斤,2022-08-29 00:00:00
肉禽蛋,猪肉类,前肘,12.0,13.0,14.0,,,斤,2022-08-29 00:00:00
肉禽蛋,猪肉类,后肘（带骨）,9.0,10.0,11.0,,,斤,2022-08-29 00:00:00
肉禽蛋,猪肉类,后肘（去骨）,12.0,12.5,13.0,,,斤,2022-08-29 00:00:00
肉禽蛋,猪肉类,猪尾巴,40.0,42.5,45.0,,,斤,2022-08-29 00:00:00
肉禽蛋,猪肉类,猪蹄,22.0,22.5,23.0,,,斤,2022-08-29 00:00:00
肉禽蛋,猪肉类,纯排骨,28.0,29.5,31.0,,,斤,2022-08-29 00:00:00
肉禽蛋,猪肉类,纯腔骨,9.0,10.5,12.0,,,斤,2022-08-29 00:00:00
肉禽蛋,猪肉类,腔排骨,18.0,19.5,21.0,,,斤,2022-08-29 00:00:00
肉禽蛋,猪肉类,梅花骨,13.0,13.5,14.0,,,斤,2022-08-29 00:00:00
肉禽蛋,猪肉类,棒骨,10.0,11.0,12.0,,,斤,2022-08-29 00:00:00
肉禽蛋,猪肉类,猪头,11.5,11.5,11.5,,,斤,2022-08-29 00:00:00
肉禽蛋,猪肉类,猪口条,17.5,17.5,17.5,,,斤,2022-08-29 00:00:00
肉禽蛋,猪肉类,猪耳,28.0,28.0,28.0,,,斤,2022-08-29 00:00:00
肉禽蛋,猪肉类,猪脑,25.0,26.5,28.0,,,斤,2022-08-29 00:00:00
肉禽蛋,猪肉类,猪肚,24.0,25.0,26.0,,,斤,2022-08-29 00:00:00
肉禽蛋,猪肉类,猪板油,7.0,7.5,8.0,,,斤,2022-08-29 00:00:00
